what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810429376
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810487285
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810488971
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810552945
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810555007
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810559044
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810564044
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810567116
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810568535
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810581650
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810595886
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1468810654967
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1468810655126
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1468810655366
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810667747
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810668512
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810681047
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810682141
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810701958
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1468810705772
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1468810708233
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1468810708250
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1468810708309
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1468810708310
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1468810708894
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810711450
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810711564
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810714366
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1468810714394
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1468810714394
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1468810733425
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810742682
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810777484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810779293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810821216
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468810822971
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468811302700
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1468811319546
